Package	Version
abind	1.4-8
afex	1.5-1
arrow	25.0.0
AsioHeaders	1.30.2-1
assertthat	0.2.1
backports	1.5.1
base	4.5.3
base64enc	0.1-6
base64url	1.4
BayesFactor	0.9.12-4.8
bigD	0.3.1
bit	4.6.0
bit64	4.8.4
bitops	1.0-9
boot	1.3-32
broom	1.0.13
broom.helpers	1.22.0
bslib	0.12.0
ca	0.71.1
cachem	1.1.0
callr	3.7.6
car	3.1-5
carData	3.0-6
cards	0.9.0
caret	7.0-1
caTools	1.18.4
checkmate	2.3.3
chromote	0.5.1
class	7.3-23
cli	3.6.6
clipr	0.8.1
clock	0.7.4
clubSandwich	0.7.0
cluster	2.1.8.3
coda	0.19-4.1
codetools	0.2-20
colorspace	2.1-3
commonmark	2.0.0
compiler	4.5.3
conquer	1.3.3
contfrac	1.1-12
cowplot	1.2.0
cpp11	0.5.5
crayon	1.5.3
curl	8.0.0
data.table	1.18.4
datasets	4.5.3
Deriv	4.2.0
deSolve	1.42
diagram	1.6.5
digest	0.6.39
distributional	0.8.1
doBy	4.7.2
dplyr	1.2.1
e1071	1.7-17
ellipsis	0.3.3
elliptic	1.5-1
emmeans	2.0.4
estimability	2.0.0
evaluate	1.0.5
fansi	1.0.7
farver	2.1.2
fastmap	1.2.0
fontawesome	0.5.3
forcats	1.0.1
foreach	1.5.2
forecast	9.0.2
foreign	0.8-91
Formula	1.2-5
fracdiff	1.5-4
fs	2.1.0
future	1.75.0
future.apply	1.20.2
gbRd	0.4.12
generics	0.1.4
GGally	2.4.0
ggdist	3.3.3
ggplot2	4.0.3
ggrepel	0.9.8
ggridges	0.5.7
ggstats	0.13.0
glmmTMB	1.1.14
globals	0.19.1
glue	1.8.1
gnm	1.1-5
gower	1.0.2
GPArotation	2026.6-1
gplots	3.3.0
graphics	4.5.3
grDevices	4.5.3
grid	4.5.3
gridExtra	2.3.1
gt	1.3.0
gtable	0.3.6
gtools	3.9.5
hardhat	1.4.3
haven	2.5.5
highr	0.12
Hmisc	5.2-6
hms	1.1.4
htmlTable	2.5.0
htmltools	0.5.9
htmlwidgets	1.6.4
hypergeo	1.2-14
igraph	2.3.3
ipred	0.9-15
isoband	0.3.0
iterators	1.0.14
jmv	2.8.0
jmvcore	2.7.38
jquerylib	0.1.4
jsonlite	2.0.0
juicyjuice	0.1.0
KernSmooth	2.23-26
knitr	1.51
labeling	0.4.3
labelled	2.16.1
later	1.4.8
lattice	0.23-1
lava	1.9.3
lavaan	0.7-2
lifecycle	1.0.5
listenv	1.0.0
litedown	0.10
lme4	2.0-6
lmerTest	3.2-1
lmtest	0.9-40
lubridate	1.9.5
magrittr	2.0.5
markdown	2.0
MASS	7.3-66
Matrix	1.7-5
MatrixModels	0.5-4
matrixStats	1.5.0
memoise	2.0.1
methods	4.5.3
mgcv	1.9-4
microbenchmark	1.5.0
mime	0.13
minqa	1.2.8
mnormt	2.1.2
ModelMetrics	1.2.2.2
modelr	0.1.11
multcomp	1.4-31
munsell	0.5.1
mvnormtest	0.1-9-3
mvtnorm	1.4-2
nlme	3.1-170
nloptr	2.2.1
nnet	7.3-21
numDeriv	2016.8-1.1
otel	0.2.0
parallel	4.5.3
parallelly	1.48.0
patchwork	1.3.2
pbapply	1.7-4
pbivnorm	0.6.0
pbkrtest	0.5.5
pillar	1.11.1
pkgconfig	2.0.3
plyr	1.8.9
prettyunits	1.2.0
pROC	1.19.1
processx	3.9.0
prodlim	2026.03.11
progress	1.2.3
progressr	1.0.0
promises	1.5.0
proxy	0.4-29
ps	1.9.3
psych	2.6.5
purrr	1.2.2
quadprog	1.5-8
quantmod	0.4.29
quantreg	6.1
qvcalc	1.0.4
R6	2.6.1
rappdirs	0.3.4
rbibutils	2.4.1
RColorBrewer	1.1-3
Rcpp	1.1.2
RcppArmadillo	15.4.2-1
RcppEigen	0.3.4.0.2
Rdpack	2.6.6
reactable	0.4.5
reactR	0.6.1
readr	2.2.0
recipes	1.4.0
reformulas	0.4.4
relimp	1.0-5
renv	1.2.4
reshape2	1.4.5
rjson	0.2.23
rlang	1.3.0
rmarkdown	2.31
ROCR	1.0-12
rpart	4.1.27
rstudioapi	0.19.0
S7	0.2.2
sandwich	3.1-2
sass	0.4.10
scales	1.4.0
secretbase	1.3.0
shape	1.4.6.1
SparseM	1.84-2
sparsevctrs	0.3.6
splines	4.5.3
SQUAREM	2026.1
stats	4.5.3
stats4	4.5.3
stringi	1.8.9
stringr	1.6.0
survival	3.8-9
targets	1.12.0
tcltk	4.5.3
TH.data	1.1-5
tibble	3.3.1
tidyr	1.3.2
tidyselect	1.2.1
timechange	0.4.0
timeDate	4052.112
tinytex	0.60
TMB	1.9.23
tmvnsim	1.0-2
tools	4.5.3
TOSTER	0.8.6
tseries	0.10-63
TTR	0.24.4
tzdb	0.5.0
urca	1.3-4
utf8	1.2.6
utils	4.5.3
V8	8.2.0
vcd	1.4-13
vcdExtra	0.9.7
vctrs	0.7.3
viridisLite	0.4.3
vroom	1.7.1
webshot2	0.1.2
websocket	1.4.4
withr	3.0.3
xfun	0.60
xml2	1.6.0
xts	0.14.2
yaml	2.3.12
zip	3.0.2
zoo	1.8-15
