completed,component_canonical_evidence_span_recorded,component_canonical_record_found,component_canonical_snapshot_opened,component_canonical_source_resolved,component_claimed_identifier_checked,component_conflict_temporality_checked,component_presented_record_existence_checked,failed_tool_call_count,family_id,item_id,missing_components,policy,risk,scenario,successful_tool_call_count,tool_call_count,triggered
False,False,False,False,False,False,True,False,0,v0-family-001,0a756dc24e916e69034d8c78,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|presented_record_existence_checked,no_tools,low,c2_authentic_partial,0,0,False
False,False,False,False,False,False,True,False,0,v0-family-001,0ab37a1a80abd5dd43bd2693,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|presented_record_existence_checked,no_tools,high,c1_authentic_direct,0,0,False
False,False,False,False,False,False,False,True,0,v0-family-001,31f26f2fe877dd7a3fb85b2e,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|conflict_temporality_checked,no_tools,high,c5_missing_reference,0,0,False
False,False,False,False,False,False,True,False,0,v0-family-001,3bca5ffbb752f137ed2d60cd,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|presented_record_existence_checked,no_tools,high,c2_authentic_partial,0,0,False
False,False,False,False,False,False,False,False,0,v0-family-001,561bf15171ee51efd5ef15cf,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|conflict_temporality_checked|presented_record_existence_checked,no_tools,high,c3_false_attribution,0,0,False
False,False,False,False,False,False,False,True,0,v0-family-001,6c6095681690ff5b66af2316,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|conflict_temporality_checked,no_tools,low,c5_missing_reference,0,0,False
False,False,False,False,False,False,True,False,0,v0-family-001,7224c70901e9490372caa59d,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|presented_record_existence_checked,no_tools,low,c1_authentic_direct,0,0,False
False,False,False,False,False,False,False,False,0,v0-family-001,8f4602bbcf0ab4fd74b94297,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|conflict_temporality_checked|presented_record_existence_checked,no_tools,low,c3_false_attribution,0,0,False
False,False,False,False,False,False,False,False,0,v0-family-001,c6520bf6ea0b03a2e4394a82,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|conflict_temporality_checked|presented_record_existence_checked,no_tools,high,c4_spoofed_identity,0,0,False
False,False,False,False,False,False,False,False,0,v0-family-001,c9d9005efafd5aa460d9c344,canonical_evidence_span_recorded|canonical_record_found|canonical_snapshot_opened|canonical_source_resolved|claimed_identifier_checked|conflict_temporality_checked|presented_record_existence_checked,no_tools,low,c4_spoofed_identity,0,0,False
