component,pass_rate,passed_count,policy,sample_count
canonical_evidence_span_recorded,0.0,0,no_tools,10
canonical_record_found,0.0,0,no_tools,10
canonical_snapshot_opened,0.0,0,no_tools,10
canonical_source_resolved,0.0,0,no_tools,10
claimed_identifier_checked,0.0,0,no_tools,10
conflict_temporality_checked,0.4,4,no_tools,10
presented_record_existence_checked,0.2,2,no_tools,10
canonical_evidence_span_recorded,0.0,0,tools_unprompted,10
canonical_record_found,0.0,0,tools_unprompted,10
canonical_snapshot_opened,0.0,0,tools_unprompted,10
canonical_source_resolved,0.0,0,tools_unprompted,10
claimed_identifier_checked,0.0,0,tools_unprompted,10
conflict_temporality_checked,0.4,4,tools_unprompted,10
presented_record_existence_checked,0.2,2,tools_unprompted,10
canonical_evidence_span_recorded,0.4,4,tools_prompted,10
canonical_record_found,0.6,6,tools_prompted,10
canonical_snapshot_opened,0.4,4,tools_prompted,10
canonical_source_resolved,0.0,0,tools_prompted,10
claimed_identifier_checked,0.6,6,tools_prompted,10
conflict_temporality_checked,0.4,4,tools_prompted,10
presented_record_existence_checked,0.6,6,tools_prompted,10
