bootstrap_replicates,ci95_lower,ci95_upper,contrast_id,factor,factor_class,family_count,holm_adjusted_p,holm_supported_at_0_05,model,randomization_exact,randomization_p_two_sided,randomization_permutations,raw_effect_mean,raw_effect_median,run_label
2000,0.0,0.0,attribution_false,attribution_authenticity,normative,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,authority_high,authority_style,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,dependent_copies,raw_source_count,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,document_long,document_length,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,familiarity_high,familiarity,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,identity_false,identity_authenticity,normative,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,independent_roots,source_independence,normative,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,popularity_high,popularity,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,position_late,document_position,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,precision_high,precision_detail,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,reliability_low,claim_conditioned_reliability,normative,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,0.0,0.0,user_endorsed,user_endorsement,heuristic,16,1.0,false,hf/microsoft/phi-4,true,1.0,65536,0.0,0.0,phi4_parser_v3
2000,-1.0,-0.6875,warrant_contradiction,evidence_warrant,normative,16,0.001708984375,true,hf/microsoft/phi-4,true,0.0001220703125,65536,-0.875,-1.0,phi4_parser_v3
2000,-1.0,-0.6875,warrant_related,evidence_warrant,normative,16,0.001708984375,true,hf/microsoft/phi-4,true,0.0001220703125,65536,-0.875,-1.0,phi4_parser_v3
2000,0.0,0.0,attribution_false,attribution_authenticity,normative,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,authority_high,authority_style,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,dependent_copies,raw_source_count,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,document_long,document_length,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,familiarity_high,familiarity,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,identity_false,identity_authenticity,normative,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,independent_roots,source_independence,normative,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,popularity_high,popularity,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,position_late,document_position,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,precision_high,precision_detail,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,reliability_low,claim_conditioned_reliability,normative,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,0.0,0.0,user_endorsed,user_endorsement,heuristic,16,1.0,false,hf/Qwen/Qwen3-14B,true,1.0,65536,0.0,0.0,qwen3_14b_parser_v3
2000,-0.75,-0.25,warrant_contradiction,evidence_warrant,normative,16,0.109375,false,hf/Qwen/Qwen3-14B,true,0.0078125,65536,-0.5,-0.5,qwen3_14b_parser_v3
2000,-0.75,-0.25,warrant_related,evidence_warrant,normative,16,0.109375,false,hf/Qwen/Qwen3-14B,true,0.0078125,65536,-0.5,-0.5,qwen3_14b_parser_v3
