accuracy,claim_adoption_shift_mean,claimed_verified_rate,design_cell_id,false_verification_assurance_rate,model,n,posterior_abstention_rate,posterior_confidence_mean,run_label,summed_sample_seconds,total_tokens,verification_completed_rate
0.5,1.0,1.0,attribution_false,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,162.03500000000005,22157,0.0
0.5,1.0,1.0,authority_high,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,158.001,21938,0.0
0.5,1.0,1.0,baseline,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,154.105,21890,0.0
0.5,1.0,1.0,dependent_copies,1.0,hf/microsoft/phi-4,16,0.0,0.8062500000000002,phi4_parser_v3,156.97899999999998,29605,0.0
0.5,1.0,1.0,document_long,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,150.904,23084,0.0
0.5,1.0,1.0,familiarity_high,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,154.95000000000002,21902,0.0
0.5,1.0,0.25,identity_false,0.25,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,159.0,22009,0.0
0.5,1.0,1.0,independent_roots,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,148.88299999999998,29549,0.0
0.5,1.0,1.0,popularity_high,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,148.90200000000002,21890,0.0
0.5,1.0,1.0,position_late,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,156.981,22049,0.0
0.5,1.0,1.0,precision_high,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,154.962,22152,0.0
0.5,1.0,1.0,reliability_low,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,163.05700000000002,22357,0.0
0.5,1.0,1.0,user_endorsed,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,153.95099999999996,21981,0.0
0.375,0.125,1.0,warrant_contradiction,1.0,hf/microsoft/phi-4,16,0.0,0.8000000000000002,phi4_parser_v3,151.914,21766,0.0
0.375,0.125,0.625,warrant_related,0.625,hf/microsoft/phi-4,16,0.375,0.49999999999999994,phi4_parser_v3,146.853,21854,0.0
0.5,1.0,1.0,attribution_false,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,63.965,18490,0.0
0.5,1.0,1.0,authority_high,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,78.12700000000001,18697,0.0
0.5,1.0,1.0,baseline,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,82.285,18599,0.0
0.5,1.0,1.0,dependent_copies,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,78.11800000000002,26616,0.0
0.5,1.0,1.0,document_long,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,80.143,19782,0.0
0.5,1.0,1.0,familiarity_high,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,83.15400000000001,18617,0.0
0.5,1.0,0.0,identity_false,0.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,66.986,18473,0.0
0.5,1.0,1.0,independent_roots,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,74.073,26545,0.0
0.5,1.0,1.0,popularity_high,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,82.166,18617,0.0
0.5,1.0,1.0,position_late,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,78.11500000000001,18633,0.0
0.5,1.0,1.0,precision_high,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,78.122,18973,0.0
0.5,1.0,1.0,reliability_low,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.20000000000000004,qwen3_14b_parser_v3,77.12599999999999,18599,0.0
0.5,1.0,1.0,user_endorsed,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,77.108,18635,0.0
0.5,0.5,1.0,warrant_contradiction,1.0,hf/Qwen/Qwen3-14B,16,0.0,0.8000000000000002,qwen3_14b_parser_v3,79.108,18617,0.0
0.375,0.5,0.5,warrant_related,0.5,hf/Qwen/Qwen3-14B,16,0.125,0.7000000000000001,qwen3_14b_parser_v3,65.97300000000001,18197,0.0
